Регион,cluster
Белгородская область,2
Брянская область,3
Владимирская область,3
Воронежская область,3
Ивановская область,3
Калужская область,3
Костромская область,3
Курская область,3
Липецкая область,3
Московская область,2
Орловская область,3
Рязанская область,3
Смоленская область,3
Тамбовская область,3
Тверская область,3
Тульская область,3
Ярославская область,3
г. Москва,2
Республика Карелия,3
Республика Коми,3
Архангельская область,3
Ненецкий автономный округ,4
Вологодская область,3
Калининградская область,3
Ленинградская область,2
Мурманская область,0
Новгородская область,3
Псковская область,3
г. Санкт-Петербург,2
Республика Адыгея (Адыгея),3
Республика Калмыкия,1
Республика Крым,3
Краснодарский край,3
Астраханская область,3
Волгоградская область,3
Ростовская область,3
г. Севастополь,3
Республика Дагестан,1
Республика Ингушетия,1
Кабардино-Балкарская Республика,1
Карачаево-Черкесская Республика,1
Республика Северная Осетия — Алания,1
Чеченская Республика,1
Ставропольский край,3
Республика Башкортостан,3
Республика Марий Эл,3
Республика Мордовия,3
Республика Татарстан (Татарстан),2
Удмуртская Республика,3
Чувашская Республика — Чувашия,3
Пермский край,3
Кировская область,3
Нижегородская область,3
Оренбургская область,3
Пензенская область,3
Самарская область,3
Саратовская область,3
Ульяновская область,3
Курганская область,3
Свердловская область,0
Тюменская область,0
Ханты-Мансийский автономный округ — Югра,0
Ямало-Ненецкий автономный округ,4
Челябинская область,3
Республика Алтай,1
Республика Тыва (Тува),1
Республика Хакасия,3
Алтайский край,3
Красноярский край,3
Иркутская область,3
Кемеровская область — Кузбасс,3
Новосибирская область,3
Омская область,3
Томская область,3
Республика Бурятия,1
Забайкальский край,1
Республика Саха (Якутия),0
Камчатский край,0
Приморский край,3
Хабаровский край,0
Амурская область,3
Магаданская область,0
Сахалинская область,0
Еврейская автономная область,3
Чукотский автономный округ,5
