Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,mining,manufacturing,industry,supply,unemployed,borned,drug,alco,respiratory_d,blood_d,metabolic_d,all_disease,square_liv
Белгородская область,1528216.1666666667,31222.4,4.4380008402480445e-05,1.628376472045785,578765.0599999999,7.68,14.739999999999998,216128.2,29.399999999999995,8.233333333333334,29.03333333333333,102232.89216935658,453147.2521333563,579462.9521217787,17286.67892928129,0.0,0.010294897773752348,1.6,46.1,27195.7,3995.8,813.6,74637.4,17.8
Брянская область,1288930.0833333333,26533.0,5.301108449830231e-05,1.0014045887283387,304715.44,13.919999999999998,23.76,206798.0,41.375,3.875,54.775,246.36157679967204,190684.6673221608,212599.54515169456,14387.151273625772,0.0,0.010073730193028086,13.2,107.9,33294.4,3201.2,1641.5,77439.0,24.1
Владимирская область,1449905.625,24147.6,5.244914693178011e-05,1.0445581587422286,357923.42000000004,13.2,22.96,162836.2,39.49999999999999,7.233333333333333,53.26666666666667,3535.067841243492,341322.4999869189,379553.47097270866,26355.51832518976,0.024677468231768532,0.010032946663465919,10.7,75.7,46461.1,2715.0,1265.2,94163.6,0.0
Воронежская область,2352667.1666666665,30634.2,4.100099711226066e-05,1.1070793552537501,405518.16000000003,8.94,19.939999999999998,234238.2,36.225,5.4,58.400000000000006,3462.509164387144,207067.9293725923,263747.17064095754,46790.87365728883,0.0,0.009669752954079706,20.1,97.1,23444.6,4876.8,1589.2,55009.9,0.0
Ивановская область,1076221.25,25022.0,4.014077994590968e-05,0.8807638299280933,232553.0,14.360000000000003,26.959999999999997,163936.4,37.300000000000004,8.466666666666667,54.23333333333333,1025.4691943129064,155732.65282739745,191863.12146330284,29865.357966360818,0.0,0.009846038041276421,3.8,88.6,47678.7,2858.0,1676.5,88473.5,18.1
Калужская область,1022921.625,30096.0,4.9095700227105754e-05,0.9045873871324208,491566.6,10.120000000000001,17.96,195789.6,37.800000000000004,10.633333333333333,51.56666666666667,3988.74283520343,809991.119734449,847130.9162603167,23587.7769029259,0.0,0.010571801816022297,9.0,68.2,37052.8,2856.1,1140.8,75548.6,15.5
Костромская область,682643.5416666666,24409.6,7.148855846509259e-05,1.0625267152299167,296258.7,12.98,20.1,161000.0,42.4,5.425000000000001,52.15,1133.4910332642917,209128.71196027595,274225.91564643814,58534.30798995921,0.0,0.011073468574833576,7.4,78.3,38090.1,2224.9,1021.9,71386.8,14.5
Курская область,1160612.3333333333,27535.4,4.9314682219882124e-05,1.2331593925850062,408373.54,10.1,21.96,190239.6,38.099999999999994,7.025,54.875,83167.55243246842,175051.407987695,317832.4657472395,53117.53875320233,0.0,0.010307731860429974,8.3,89.8,25916.1,1655.7,1117.8,54094.0,17.1
Липецкая область,1178001.8333333333,30321.0,4.1348714699221115e-05,1.2093879735048518,491812.16,8.739999999999998,21.34,220571.8,39.45,5.7,54.875,5970.459484171955,611481.834214179,648958.1708808119,21602.469837811987,0.0,0.010261524492459642,9.0,80.1,29127.5,2539.5,766.5,66621.8,16.5
Московская область,7053719.5,44515.0,4.5105925383144626e-05,0.7172030657017195,623044.4000000001,7.42,19.060000000000002,307147.8,45.05,7.6499999999999995,47.275,1848.1804436893879,365516.4769405537,416983.4217626129,37135.52215441018,0.0,0.011045935571306249,13.7,47.5,33910.8,2384.2,706.4,70054.0,14.8
