Регион,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Адыгея,16800.0,17000.0,16400.0,17300.0,17600.0,18200.0,17700.0,17300.0,16600.0,16500.0,17200.0,19100.0,15200.0,14700.0,21400.0,28000.0,26200.0,32900.0,29100.0,27000.0,27900.0,28900.0
Алтай,11600.0,13800.0,10500.0,10800.0,11800.0,11900.0,9700.0,10200.0,11500.0,11500.0,12800.0,12300.0,13700.0,12300.0,8800.0,10900.0,8900.0,9300.0,9300.0,10400.0,8800.0,16000.0
Алтайский край,60600.0,65200.0,66100.0,70300.0,78200.0,99600.0,94800.0,83400.0,95800.0,74400.0,103200.0,110600.0,152000.0,105100.0,81700.0,114400.0,112900.0,117600.0,155300.0,106100.0,123700.0,149000.0
Амурская обл.,20700.0,24000.0,21900.0,22800.0,24300.0,24600.0,24000.0,23500.0,25700.0,22700.0,27000.0,29600.0,36700.0,23200.0,26100.0,35300.0,41400.0,49800.0,45000.0,48400.0,54500.0,66100.0
Архангельская обл.,35000.0,38300.0,33200.0,35100.0,36200.0,40200.0,40000.0,43100.0,36600.0,32600.0,36700.0,44100.0,45900.0,43700.0,35200.0,39400.0,35400.0,47000.0,68300.0,56400.0,59500.0,87400.0
Астраханская обл.,39000.0,39600.0,38700.0,38600.0,40000.0,40000.0,39700.0,39700.0,39900.0,41000.0,46800.0,43100.0,52400.0,39400.0,45200.0,42400.0,60500.0,60200.0,51800.0,52300.0,52600.0,57900.0
Башкортостан,83200.0,111700.0,83800.0,96000.0,111500.0,116000.0,123300.0,104900.0,116000.0,123800.0,158700.0,181900.0,190300.0,105100.0,132000.0,129500.0,142600.0,140200.0,163800.0,161100.0,204500.0,227900.0
Белгородская обл.,34700.0,40600.0,31900.0,32600.0,32100.0,32500.0,32800.0,32500.0,32200.000000000004,29500.0,33200.0,40600.0,37400.0,29600.0,31400.0,42700.0,42000.0,45900.0,59800.0,58500.0,48200.0,44900.0
Брянская обл.,20100.0,23300.0,22500.0,24000.0,27000.0,28700.0,29000.0,31900.0,33300.0,32700.000000000004,45500.0,51900.0,68200.0,42200.0,42500.0,44800.0,43900.0,58400.0,47700.0,54400.0,63800.0,88800.0
Бурятия,41300.0,45000.0,39900.0,42200.0,42400.0,43500.0,42400.0,38500.0,37000.0,36500.0,41600.0,49300.0,63300.0,58600.0,60500.0,64200.0,54900.0,67900.0,80800.0,69700.0,81300.0,92900.0
Владимирская обл.,27500.0,39600.0,29200.0,33800.0,35300.0,41000.0,42300.0,32900.0,29200.0,34100.0,44300.0,46600.0,66500.0,44900.0,53700.0,86300.0,72900.0,73300.0,81100.0,83700.0,80400.0,95500.0
Волгоградская обл.,61600.0,94400.0,66200.0,71900.0,76800.0,88000.0,94700.0,86600.0,89100.0,80400.0,91900.0,105400.0,137700.0,107800.0,86100.0,116500.0,88100.0,125800.0,144200.0,114100.0,125000.0,126500.0
Вологодская обл.,25900.0,35000.0,25400.0,29300.0,30900.0,40200.0,41700.0,34800.0,38200.0,37000.0,47100.0,51200.0,52000.0,36800.0,26400.0,35900.0,34100.0,40400.0,31000.0,39500.0,58700.0,55400.0
Воронежская обл.,45300.0,50400.0,42000.0,43300.0,51200.0,52300.0,52000.0,52700.0,54100.0,64599.99999999999,75600.0,86800.0,100800.0,60800.0,59400.0,63700.0,87600.0,95700.0,91500.0,101300.0,105700.0,118600.0
Дагестан,206400.0,201500.0,179300.0,160000.0,163500.0,146200.0,140300.0,135200.0,152800.0,155300.0,172200.0,188500.0,171400.0,174800.0,252600.0,270100.0,264100.0,299600.0,213400.0,260000.0,280700.0,255100.0
Еврейская АО,4300.0,4900.0,4800.0,5600.0,6900.0,6900.0,6700.0,7500.0,7300.0,7400.0,7600.0,8200.0,7400.0,8400.0,7900.0,8500.0,7200.0,7300.0,6300.0,8600.0,8600.0,13900.0
Забайкальский край,48800.0,51500.0,48700.0,54500.0,57400.0,57600.0,55700.0,53700.0,56000.0,56300.0,56900.0,58900.0,65600.0,81500.0,46600.0,33200.0,48900.0,65600.0,72800.0,62700.0,81900.0,76700.0
Ивановская обл.,23700.0,27900.0,19500.0,22100.0,25400.0,29900.0,30900.0,22900.0,28700.0,35000.0,36700.0,42200.0,58800.0,29500.0,24100.0,23500.0,39500.0,26900.0,36500.0,39100.0,33900.0,61400.0
Ингушетия,82300.0,77700.0,68200.0,66400.0,67600.0,69800.0,68200.0,63200.0,87700.0,96300.0,91900.0,89000.0,95300.0,78500.0,65900.0,63700.0,110600.0,57500.0,68000.0,66500.0,51400.0,30800.0
Иркутская обл.,68800.0,89000.0,77000.0,89300.0,105300.0,110200.0,103100.0,109700.0,104400.0,97800.0,114900.0,127300.0,137900.0,109900.0,104900.0,108300.0,127500.0,136800.0,145000.0,141500.0,144900.0,156400.0
Кабардино-Балкария,52800.0,66900.0,47700.0,47000.0,45300.0,44500.0,43200.0,41200.0,44200.0,34100.0,38800.0,48200.0,56400.0,67700.0,72500.0,88800.0,91100.0,95100.0,90700.0,71700.0,63100.0,68100.0
