Регион,population,cash_income,child_mort,disabled,grp,poverty_%,Social_expenses_%,retail,poverty_deti_%,poverty_pens_%,poverty_trud_%,manufacturing,supply,unemployed,borned,drug,alco,blood_d,metabolic_d,all_disease,square_liv,cluster
Белгородская область,1528216.1666666667,31222.4,4.4380008402480445e-05,1.628376472045785,578765.0599999999,7.68,14.739999999999998,216128.2,29.399999999999995,8.233333333333334,29.03333333333333,453147.2521333563,17286.67892928129,0.0,0.0102948977737523,1.6,46.1,3995.8,813.6,74637.4,17.8,2
Брянская область,1288930.0833333333,26533.0,5.301108449830231e-05,1.0014045887283387,304715.44,13.919999999999998,23.76,206798.0,41.375,3.875,54.775,190684.6673221608,14387.151273625772,0.0,0.010073730193028,13.2,107.9,3201.2,1641.5,77439.0,24.1,3
Владимирская область,1449905.625,24147.6,5.244914693178011e-05,1.0445581587422286,357923.42000000004,13.2,22.96,162836.2,39.49999999999999,7.233333333333333,53.26666666666667,341322.4999869189,26355.51832518976,0.0246774682317685,0.0100329466634659,10.7,75.7,2715.0,1265.2,94163.6,0.0,3
Воронежская область,2352667.1666666665,30634.2,4.100099711226066e-05,1.10707935525375,405518.16,8.94,19.94,234238.2,36.225,5.4,58.400000000000006,207067.9293725923,46790.87365728883,0.0,0.0096697529540797,20.1,97.1,4876.8,1589.2,55009.9,0.0,3
Ивановская область,1076221.25,25022.0,4.014077994590968e-05,0.8807638299280933,232553.0,14.360000000000005,26.96,163936.4,37.3,8.466666666666667,54.23333333333333,155732.65282739745,29865.357966360814,0.0,0.0098460380412764,3.8,88.6,2858.0,1676.5,88473.5,18.1,3
Калужская область,1022921.625,30096.0,4.909570022710576e-05,0.9045873871324208,491566.6,10.12,17.96,195789.6,37.8,10.633333333333333,51.56666666666667,809991.119734449,23587.7769029259,0.0,0.0105718018160222,9.0,68.2,2856.1,1140.8,75548.6,15.5,3
Костромская область,682643.5416666666,24409.6,7.148855846509259e-05,1.0625267152299167,296258.7,12.98,20.1,161000.0,42.4,5.425000000000001,52.15,209128.71196027595,58534.30798995921,0.0,0.0110734685748335,7.4,78.3,2224.9,1021.9,71386.8,14.5,3
Курская область,1160612.3333333333,27535.4,4.931468221988213e-05,1.2331593925850062,408373.54,10.1,21.96,190239.6,38.1,7.025,54.875,175051.407987695,53117.53875320233,0.0,0.0103077318604299,8.3,89.8,1655.7,1117.8,54094.0,17.1,3
Липецкая область,1178001.8333333333,30321.0,4.134871469922112e-05,1.2093879735048518,491812.16,8.739999999999998,21.34,220571.8,39.45,5.7,54.875,611481.834214179,21602.469837811987,0.0,0.0102615244924596,9.0,80.1,2539.5,766.5,66621.8,16.5,3
Московская область,7053719.5,44515.0,4.510592538314463e-05,0.7172030657017195,623044.4000000001,7.42,19.06,307147.8,45.05,7.649999999999999,47.275,365516.4769405537,37135.52215441018,0.0,0.0110459355713062,13.7,47.5,2384.2,706.4,70054.0,14.8,2
Орловская область,797591.125,24957.4,5.262983131812252e-05,0.9334322144068492,338581.28,13.62,24.22,176808.0,38.825,6.7250000000000005,54.425,158103.38312163853,18179.915135623967,0.0,0.0098919405071824,3.4,101.2,3192.9,1739.6,94883.0,18.8,3
